id,name,price,desc,img,calories,protein,fat,carbs,tags
1,朴珠豬(韓式)餐盒,125,嚴選豚肉片川燙，搭配道地韓式靈魂濃郁瓣醬，不煎不炒，水煮後的微辣鹹甜超開胃|豬原料產地：台灣、巴拉圭、加拿大、法國、荷蘭,https://formosachangcoltd.wpcomstaging.com/wp-content/uploads/2026/06/朴珠豬韓式餐盒.jpg,510,24.5,18.6,55.2,"韓式,微辣,經典"
2,紅藜毛豆雞絲餐盒,110,原價$120|嚴選優質雞胸肉製作成雞肉絲，肉質鮮嫩，口感細緻，佐上香濃特調醬汁最後拌入穀界的紅寶石－紅藜與毛豆，提供您簡單的幸福。,https://formosachangcoltd.wpcomstaging.com/wp-content/uploads/2026/06/紅藜毛豆雞絲餐盒.jpg,420,28.5,8.2,51.4,"高蛋白,高纖,人氣"
3,焙煎胡麻肉片餐盒,115,嚴選日式焙煎胡麻醬，香味濃郁，搭配穠纖合度的豬肉片，口感滑順，給您清爽無負擔。|豬原料產地：台灣、巴拉圭、加拿大、法國、荷蘭,https://formosachangcoltd.wpcomstaging.com/wp-content/uploads/2026/03/%E7%84%99%E7%85%8E%E8%83%A1%E9%BA%BB%E8%82%89%E7%89%87%E9%A4%90%E7%9B%92-%E5%8E%BB%E7%95%AA%E8%8C%84.png,435,21.5,16.2,50.8,"經典,均衡,熱銷"
4,蔥鹽雞胸餐盒,130,原價$135|雙油淬煉，鎖住鮮蔥靈魂。紅蔥油與橄欖油的黃金比例，打造出層次分明的濃郁香氣。搭配每日現切新鮮青蔥，保留辛香與鮮甜，每一口都能吃到生蔥的爽脆與蔥油的醇厚。蔥鹽的鹹鮮激發了雞胸的甜感，無論單吃或配飯，都是最奢侈的味覺享受。,https://formosachangcoltd.wpcomstaging.com/wp-content/uploads/2026/03/%E8%94%A5%E9%B9%BD%E9%9B%9E%E8%83%B8-%E5%A4%96%E5%B8%B6.jpg,480,32.4,15.6,52.4,"雞胸,飽足,高蛋白"
5,烤檸檬鮭魚餐盒,199,鮭魚肉含有高蛋白質，蒸烤後皮表恰恰肉質鮮嫩，給您外酥內軟的享受。,https://formosachangcoltd.wpcomstaging.com/wp-content/uploads/2026/03/%E7%83%A4%E6%AA%B8%E6%AA%AC%E9%AE%AD%E9%AD%9A%E9%A4%90%E7%9B%92-%E5%8E%BB%E7%95%AA%E8%8C%84.png,550,28.6,22.4,58.5,"鮭魚,主廚推薦,招牌"
6,日式烤雞腿餐盒,165,"原價$170|嚴選鮮嫩多汁的去骨雞腿，刷上特調日式醬料，烤至香氣四溢,金黃色澤，佐上檸檬角，讓您不出國也能享用吮指好滋味。",https://formosachangcoltd.wpcomstaging.com/wp-content/uploads/2026/03/%E6%97%A5%E5%BC%8F%E7%83%A4%E9%9B%9E%E8%85%BF%E9%A4%90%E7%9B%92-%E5%8E%BB%E7%95%AA%E8%8C%84.png,610,30.2,28.5,58.2,"雞腿,均衡,人氣"
7,烤雪霜肉餐盒,160,油花分布均勻雪霜肉，蒸烤烹調料理，口感Q彈，撒上粉色玫瑰鹽，風味簡單，單純好味道|豬原料產地：台灣、巴拉圭、加拿大、法國、荷蘭,https://formosachangcoltd.wpcomstaging.com/wp-content/uploads/2026/03/%E7%83%A4%E9%9B%AA%E9%9C%9C%E8%82%89%E9%A4%90%E7%9B%92-%E5%8E%BB%E7%95%AA%E8%8C%84.png,590,25.8,30.1,53.8,"肉食系,香氣厚實,推薦"
8,香烤桔汁里肌餐盒,140,原價$145|採用上選的大里肌，肉纖維紮實帶有大理石般紋路。刷上獨家調配桔汁，蒸烤後清爽甜香|豬原料產地：台灣、巴拉圭、加拿大、法國、荷蘭,https://formosachangcoltd.wpcomstaging.com/wp-content/uploads/2026/03/%E9%A6%99%E7%83%A4%E6%A1%94%E6%B1%81%E9%87%8C%E8%82%8C%E9%A4%90%E7%9B%92-%E5%8E%BB%E7%95%AA%E8%8C%84.png,460,26.5,12.8,59.7,"低負擔,清爽,健身友善"
9,烤挪威鯖魚餐盒,145,挪威鯖魚主要分布於北大西洋兩側溫帶和寒帶海域，由於生活在寒冷水域，油脂含量豐富，口感鹹香品嘗起來細緻又鮮美。,https://formosachangcoltd.wpcomstaging.com/wp-content/uploads/2026/03/%E7%83%A4%E6%8C%AA%E5%A8%81%E9%AF%96%E9%AD%9A%E9%A4%90%E7%9B%92-%E5%8E%BB%E7%95%AA%E8%8C%84.png,580,24.2,32.5,47.6,"魚類蛋白,家常,推薦"
10,豬雞妙算餐盒,135,胡麻豬肉片與黑胡椒香嫩雞胸~雙饗組合美味出擊!|豬原料產地：台灣、巴拉圭、加拿大、法國、荷蘭,https://formosachangcoltd.wpcomstaging.com/wp-content/uploads/2026/03/%E7%B6%93%E5%85%B8%E8%B1%AC%E9%9B%9E%E5%A6%99%E7%AE%97%E9%A4%90%E7%9B%92-%E5%8E%BB%E7%95%AA%E8%8C%84.png,520,36.5,18.4,52.1,"雙主菜,招牌,人氣"
11,壽喜燒豚肉片餐盒,125,汆燙軟嫩的豚肉片及每日新鮮手切洋蔥，搭配特調壽喜燒醬調味，給您日式的好滋味。|豬原料產地：台灣、巴拉圭、加拿大、法國、荷蘭,https://formosachangcoltd.wpcomstaging.com/wp-content/uploads/2026/03/%E5%A3%BD%E5%96%9C%E7%87%92%E8%B1%9A%E8%82%89%E7%89%87%E9%A4%90%E7%9B%92-%E5%8E%BB%E7%95%AA%E8%8C%84.png,490,20.6,18.2,60.9,"日式,日常,順口"
12,黑胡椒雞胸餐盒,125,新鮮的雞胸，以低溫蒸煮熟化，不過度的烹調鎖住肉汁並保有鮮嫩口感，佐以蒜香黑胡椒提味。 低油低鈉，給您簡單的好味道。,https://formosachangcoltd.wpcomstaging.com/wp-content/uploads/2026/03/%E9%BB%91%E8%83%A1%E6%A4%92%E5%AB%A9%E9%9B%9E%E8%83%B8%E9%A4%90%E7%9B%92-%E5%8E%BB%E7%95%AA%E8%8C%84.png,410,31.5,4.8,60.2,"高蛋白,低脂,輕盈"
